DIP    1     83    0.940925E-02   -0.392955E-04   -0.393181E-04
DIP    1     84    0.751544E-02   -0.393476E-04   -0.393712E-04
DIP    1     85    0.564230E-02   -0.393968E-04   -0.394211E-04
DIP    1     86    0.379222E-02   -0.394411E-04   -0.394661E-04
DIP    1     87    0.196535E-02   -0.394822E-04   -0.395077E-04
DIP    1     88    0.161226E-03   -0.395249E-04   -0.395510E-04
DIP    1     89   -0.161921E-02   -0.395745E-04   -0.396014E-04
DIP    1     90   -0.337270E-02   -0.396333E-04   -0.396611E-04
DIP    1     91   -0.509477E-02   -0.396990E-04   -0.397275E-04
DIP    1     92   -0.678178E-02   -0.397654E-04   -0.397944E-04
DIP    1     93   -0.843244E-02   -0.398259E-04   -0.398554E-04
DIP    1     94   -0.100475E-01   -0.398774E-04   -0.399074E-04
DIP    1     95   -0.116277E-01   -0.399215E-04   -0.399520E-04
DIP    1     96   -0.131724E-01   -0.399633E-04   -0.399944E-04
DIP    1     97   -0.146789E-01   -0.400079E-04   -0.400396E-04
DIP    1     98   -0.161435E-01   -0.400580E-04   -0.400901E-04
DIP    1     99   -0.175636E-01   -0.401125E-04   -0.401450E-04
DIP    1    100   -0.189385E-01   -0.401693E-04   -0.402020E-04
DIP    1    101   -0.202693E-01   -0.402267E-04   -0.402597E-04
DIP    1    102   -0.215567E-01   -0.402856E-04   -0.403190E-04
DIP    1    103   -0.228005E-01   -0.403485E-04   -0.403822E-04
DIP    1    104   -0.239989E-01   -0.404170E-04   -0.404510E-04
DIP    1    105   -0.251497E-01   -0.404899E-04   -0.405239E-04
DIP    1    106   -0.262519E-01   -0.405629E-04   -0.405969E-04
DIP    1    107   -0.273058E-01   -0.406310E-04   -0.406650E-04
DIP    1    108   -0.283126E-01   -0.406915E-04   -0.407255E-04
DIP    1    109   -0.292737E-01   -0.407453E-04   -0.407792E-04
DIP    1    110   -0.301889E-01   -0.407959E-04   -0.408299E-04
DIP    1    111   -0.310572E-01   -0.408475E-04   -0.408814E-04
DIP    1    112   -0.318768E-01   -0.409022E-04   -0.409357E-04
DIP    1    113   -0.326464E-01   -0.409594E-04   -0.409925E-04
DIP    1    114   -0.333659E-01   -0.410181E-04   -0.410508E-04
DIP    1    115   -0.340361E-01   -0.410788E-04   -0.411112E-04
DIP    1    116   -0.346584E-01   -0.411447E-04   -0.411769E-04
DIP    1    117   -0.352338E-01   -0.412202E-04   -0.412522E-04
DIP    1    118   -0.357628E-01   -0.413084E-04   -0.413400E-04
DIP    1    119   -0.362454E-01   -0.414091E-04   -0.414401E-04
DIP    1    120   -0.366808E-01   -0.415184E-04   -0.415487E-04
DIP    1    121   -0.370688E-01   -0.416310E-04   -0.416606E-04
DIP    1    122   -0.374097E-01   -0.417424E-04   -0.417716E-04
DIP    1    123   -0.377045E-01   -0.418508E-04   -0.418795E-04
DIP    1    124   -0.379551E-01   -0.419561E-04   -0.419843E-04
DIP    1    125   -0.381630E-01   -0.420585E-04   -0.420862E-04
DIP    1    126   -0.383292E-01   -0.421573E-04   -0.421842E-04
DIP    1    127   -0.384537E-01   -0.422509E-04   -0.422771E-04
DIP    1    128   -0.385363E-01   -0.423379E-04   -0.423634E-04
DIP    1    129   -0.385771E-01   -0.424180E-04   -0.424430E-04
DIP    1    130   -0.385770E-01   -0.424926E-04   -0.425170E-04
DIP    1    131   -0.385377E-01   -0.425635E-04   -0.425872E-04
DIP    1    132   -0.384604E-01   -0.426323E-04   -0.426553E-04
DIP    1    133   -0.383457E-01   -0.427007E-04   -0.427226E-04
DIP    1    134   -0.381934E-01   -0.427706E-04   -0.427916E-04
DIP    1    135   -0.380034E-01   -0.428454E-04   -0.428656E-04
DIP    1    136   -0.377762E-01   -0.429290E-04   -0.429486E-04
DIP    1    137   -0.375139E-01   -0.430247E-04   -0.430437E-04
DIP    1    138   -0.372194E-01   -0.431330E-04   -0.431513E-04
DIP    1    139   -0.368947E-01   -0.432512E-04   -0.432685E-04
DIP    1    140   -0.365410E-01   -0.433742E-04   -0.433907E-04
DIP    1    141   -0.361579E-01   -0.434979E-04   -0.435137E-04
DIP    1    142   -0.357451E-01   -0.436218E-04   -0.436370E-04
DIP    1    143   -0.353032E-01   -0.437490E-04   -0.437639E-04
DIP    1    144   -0.348341E-01   -0.438855E-04   -0.438999E-04
DIP    1    145   -0.343405E-01   -0.440363E-04   -0.440502E-04
DIP    1    146   -0.338243E-01   -0.442025E-04   -0.442157E-04
DIP    1    147   -0.332862E-01   -0.443799E-04   -0.443925E-04
DIP    1    148   -0.327260E-01   -0.445607E-04   -0.445729E-04
DIP    1    149   -0.321434E-01   -0.447365E-04   -0.447485E-04
DIP    1    150   -0.315393E-01   -0.449018E-04   -0.449136E-04
DIP    1    151   -0.309160E-01   -0.450564E-04   -0.450680E-04
DIP    1    152   -0.302764E-01   -0.452052E-04   -0.452163E-04
DIP    1    153   -0.296225E-01   -0.453557E-04   -0.453665E-04
DIP    1    154   -0.289550E-01   -0.455154E-04   -0.455259E-04
DIP    1    155   -0.282734E-01   -0.456878E-04   -0.456983E-04
DIP    1    156   -0.275777E-01   -0.458718E-04   -0.458824E-04
DIP    1    157   -0.268686E-01   -0.460616E-04   -0.460723E-04
DIP    1    158   -0.261481E-01   -0.462492E-04   -0.462599E-04
DIP    1    159   -0.254185E-01   -0.464272E-04   -0.464376E-04
DIP    1    160   -0.246811E-01   -0.465904E-04   -0.466007E-04
